ID,SR,NR,TR,VR,SUR1,SUR2,SUR3,UR,FR,OR,RR,BR,MR,CR,Green frogs,Brown frogs,Common toad,Fire-bellied toad,Tree frog,Common newt,target
1,600,1,1,4,6,2,10,0,0,50,0,0,0,1,0,0,0,0,0,0,0
2,700,1,5,1,10,6,10,3,1,75,1,1,0,1,0,1,1,0,0,1,0
3,200,1,5,1,10,6,10,3,4,75,1,1,0,1,0,1,1,0,0,1,0
4,300,1,5,0,6,10,2,3,4,25,0,0,0,1,0,0,1,0,0,0,0
5,600,2,1,4,10,2,6,0,0,99,0,5,0,1,0,1,1,1,0,1,1
6,200,1,5,1,6,6,10,1,0,50,0,0,0,1,0,0,0,0,0,0,0
7,500,1,5,0,6,6,10,1,2,25,0,0,0,2,0,0,1,0,0,0,0
8,700,1,5,2,10,6,9,0,0,100,1,1,0,1,1,1,0,1,0,0,0
9,750,2,5,1,6,1,2,0,1,50,1,0,0,1,0,1,1,0,0,0,0
10,200,1,12,4,2,7,6,0,0,75,1,0,0,1,0,1,1,0,0,0,0
11,200,1,1,4,2,7,1,0,0,100,2,1,0,1,1,0,0,0,0,0,0
12,300,1,14,2,1,2,7,0,0,100,2,1,0,1,0,1,1,0,0,0,0
13,7000,1,1,1,2,6,10,3,3,50,1,5,0,1,1,0,1,0,0,0,0
14,1700,1,1,1,2,6,10,0,1,100,2,2,2,1,1,1,1,0,0,0,0
15,8000,1,1,3,2,10,7,0,0,100,9,9,0,1,0,1,1,0,0,0,0
16,30000,1,1,3,1,1,1,0,0,100,2,10,0,1,1,1,1,1,1,0,0
17,300,1,12,4,1,1,1,0,0,100,5,10,0,1,0,1,1,0,1,0,0
18,300,1,15,1,1,1,9,0,0,75,0,5,0,1,0,1,1,0,0,0,0
19,1600,3,1,0,2,6,2,3,1,75,2,1,0,1,1,1,1,1,0,0,0
20,3800,6,1,2,6,6,2,3,1,25,0,0,0,1,1,0,1,0,1,0,0
21,7000,6,1,1,6,10,2,3,4,50,0,0,0,1,1,0,1,0,0,0,0
22,2500,1,1,3,10,2,6,0,1,100,0,1,0,1,1,0,1,0,0,1,0
23,800,1,1,0,1,2,7,3,4,100,2,1,0,1,0,1,1,0,0,0,0
24,1700,1,1,3,10,6,2,0,0,100,0,0,0,1,0,1,1,0,0,0,0
25,300,1,1,2,7,2,10,0,0,100,5,5,2,1,1,0,0,0,0,1,0
26,4500,1,1,1,2,2,9,3,2,100,9,9,0,1,1,1,1,0,1,0,0
27,1000,1,12,4,2,2,1,0,0,100,5,9,0,1,0,1,0,0,0,0,0
28,7000,1,1,4,2,2,1,0,0,100,5,5,0,1,0,0,0,1,1,0,1
29,30000,1,1,3,2,2,1,1,0,100,5,5,0,1,1,1,1,0,0,1,1
30,7000,1,1,3,2,2,7,0,0,100,0,1,0,1,0,1,1,0,1,0,0
31,3300,1,1,3,2,1,7,0,0,100,5,5,0,1,0,1,0,0,1,0,0
32,2100,1,1,3,2,9,2,0,0,50,0,1,0,1,0,0,0,0,1,0,0
33,500,1,1,0,2,10,6,3,4,100,2,1,0,1,1,1,0,0,0,0,0
34,400,2,1,2,2,10,10,0,0,100,1,5,0,1,0,1,0,0,0,0,0
35,300,1,1,1,2,10,10,0,0,100,2,2,0,1,0,1,1,0,0,0,0
36,1100,1,1,0,2,6,10,3,4,100,2,2,0,1,0,1,1,0,0,0,0
37,1000,1,1,2,2,10,6,0,0,100,1,1,0,1,0,0,0,1,0,0,0
38,400,1,5,1,6,2,10,1,0,75,2,0,0,1,0,0,1,0,1,0,1
39,100,1,1,2,2,6,10,0,0,100,1,1,0,1,0,1,0,0,0,0,0
40,100,1,5,1,7,2,6,3,0,100,2,1,0,1,1,0,0,0,0,0,0
41,80000,1,12,4,2,2,7,0,0,100,5,5,0,1,1,0,0,1,1,0,0
42,200,1,12,4,2,2,7,0,0,100,5,5,0,1,0,0,1,1,1,0,0
43,100,1,11,4,2,6,7,0,0,100,5,5,0,1,0,0,1,0,1,0,0
44,2500,1,1,3,7,2,9,0,0,75,0,2,0,1,0,1,0,0,0,0,0
45,31000,6,1,0,2,7,6,3,4,100,5,5,0,1,1,1,1,0,0,0,0
46,500,1,12,4,2,7,2,0,0,100,5,5,0,1,1,1,1,1,1,0,0
47,25000,5,1,0,2,9,7,3,4,75,0,0,0,1,1,0,0,1,0,0,0
48,40000,1,1,1,2,2,6,3,2,100,5,0,0,1,1,1,0,1,0,1,0
49,1900,7,12,4,2,6,7,0,0,100,5,5,0,1,1,1,0,0,1,1,0
50,30,1,1,2,2,7,6,0,0,75,0,1,0,1,0,1,1,0,0,1,0
51,4300,1,1,3,1,2,2,0,0,100,5,5,0,1,1,1,1,0,1,0,1
52,4000,1,1,3,1,1,2,0,0,100,5,5,0,1,1,1,1,0,0,0,0
53,300,1,1,4,1,2,6,0,0,99,2,2,0,1,0,1,0,0,0,0,0
54,400,1,1,2,1,7,6,0,0,100,0,1,0,1,0,1,0,0,0,1,0
55,1000,1,1,1,2,2,1,0,0,100,5,5,0,1,1,1,1,1,1,1,0
56,1500,2,2,2,7,2,6,1,2,100,5,0,0,1,0,1,1,0,0,0,0
57,300,1,14,3,7,2,1,0,0,100,5,5,0,1,1,1,1,0,1,1,0
58,600,1,1,2,7,1,10,0,0,100,2,2,0,1,0,0,0,0,1,0,0
59,28300,4,1,1,2,7,6,3,2,100,0,0,0,1,1,1,1,1,0,0,0
60,1000,1,1,0,1,6,7,3,3,75,0,0,0,1,1,0,1,0,0,0,0
61,50,1,1,2,2,7,10,0,0,100,5,5,0,1,1,1,1,1,0,0,0
62,9000,2,2,0,10,1,7,1,2,100,1,1,0,1,1,0,1,0,0,0,0
63,19300,2,1,1,2,6,1,3,3,75,2,0,0,1,1,1,1,1,1,0,0
64,100,1,1,4,2,9,1,0,0,100,1,2,0,1,1,0,1,0,0,0,0
65,3500,1,2,0,6,9,2,0,0,50,0,0,0,1,1,1,1,0,0,0,0
66,300,1,12,3,7,2,1,0,0,100,5,5,0,1,1,1,0,0,0,0,0
67,100,1,12,4,7,2,1,0,0,100,5,5,0,1,0,1,0,0,0,0,0
68,200,1,12,4,7,2,6,0,0,100,0,0,0,1,0,1,0,0,0,0,0
69,300,1,12,4,2,2,7,0,0,100,2,5,0,1,0,1,0,0,0,0,0
70,300,1,11,3,7,1,1,0,0,100,10,10,0,1,1,1,1,0,1,0,0
71,300,1,11,3,1,2,10,0,0,100,10,10,0,1,1,1,0,1,0,0,0
72,300,1,14,3,7,2,1,0,0,100,5,5,0,1,1,1,1,0,0,0,0
73,1000,1,1,2,2,7,9,0,0,75,0,0,0,1,0,0,1,0,0,0,0
74,9100,1,1,0,7,10,2,3,3,100,5,5,0,1,1,0,0,0,0,0,0
75,100,1,11,4,1,10,2,0,0,100,10,10,0,1,1,1,1,0,1,0,0
76,100,1,1,2,2,7,6,0,0,100,2,2,2,1,1,0,0,0,0,0,0
77,300,1,1,3,2,2,1,0,0,100,5,1,0,1,0,0,0,1,1,0,0
