Method,NumberOfFeatures,Accuracy,Error,Fitness
SFO,1,0.6875,0.3125,0.24444444444444446
GA,1,0.6597222222222222,0.3402777777777778,0.24444444444444446
EHO,1,0.6770833333333334,0.32291666666666663,0.24444444444444446
GWO,1,0.6493055555555556,0.3506944444444444,0.24444444444444446
WOA,1,0.6319444444444444,0.3680555555555556,0.24444444444444446
MFO,1,0.6631944444444444,0.3368055555555556,0.24444444444444446
SFO,1,0.6597222222222222,0.3402777777777778,0.24444444444444446
GA,1,0.6423611111111112,0.35763888888888884,0.24444444444444446
EHO,1,0.6805555555555556,0.3194444444444444,0.24444444444444446
GWO,1,0.7013888888888888,0.29861111111111116,0.24444444444444446
WOA,1,0.65625,0.34375,0.24444444444444446
MFO,1,0.6145833333333334,0.38541666666666663,0.24444444444444446
SFO,1,0.6875,0.3125,0.24444444444444446
GA,1,0.6944444444444444,0.3055555555555556,0.24444444444444446
EHO,1,0.65625,0.34375,0.24444444444444446
GWO,1,0.6701388888888888,0.32986111111111116,0.24444444444444446
WOA,1,0.6840277777777778,0.3159722222222222,0.24444444444444446
MFO,1,0.6284722222222222,0.3715277777777778,0.24444444444444446
SFO,1,0.6076388888888888,0.39236111111111116,0.24444444444444446
GA,1,0.6666666666666666,0.33333333333333337,0.24444444444444446
EHO,1,0.625,0.375,0.24444444444444446
GWO,1,0.6597222222222222,0.3402777777777778,0.24444444444444446
WOA,1,0.6805555555555556,0.3194444444444444,0.24444444444444446
MFO,1,0.6875,0.3125,0.24444444444444446
SFO,1,0.6909722222222222,0.3090277777777778,0.24444444444444446
GA,1,0.6423611111111112,0.35763888888888884,0.24444444444444446
EHO,1,0.6458333333333334,0.35416666666666663,0.24444444444444446
GWO,1,0.65625,0.34375,0.24444444444444446
WOA,1,0.6215277777777778,0.3784722222222222,0.24444444444444446
MFO,1,0.6666666666666666,0.33333333333333337,0.24444444444444446
SFO,1,0.7013888888888888,0.29861111111111116,0.24444444444444446
GA,1,0.6666666666666666,0.33333333333333337,0.24444444444444446
EHO,1,0.6597222222222222,0.3402777777777778,0.24444444444444446
GWO,1,0.6770833333333334,0.32291666666666663,0.24444444444444446
WOA,1,0.6805555555555556,0.3194444444444444,0.24444444444444446
MFO,1,0.6076388888888888,0.39236111111111116,0.24444444444444446
SFO,1,0.6770833333333334,0.32291666666666663,0.24444444444444446
GA,1,0.6006944444444444,0.3993055555555556,0.24444444444444446
EHO,1,0.6319444444444444,0.3680555555555556,0.24444444444444446
GWO,1,0.6597222222222222,0.3402777777777778,0.24444444444444446
WOA,1,0.6701388888888888,0.32986111111111116,0.24444444444444446
MFO,1,0.7013888888888888,0.29861111111111116,0.24444444444444446
SFO,1,0.6666666666666666,0.33333333333333337,0.24444444444444446
GA,1,0.6180555555555556,0.3819444444444444,0.24444444444444446
EHO,1,0.6388888888888888,0.36111111111111116,0.24444444444444446
GWO,1,0.6979166666666666,0.30208333333333337,0.24444444444444446
WOA,1,0.6736111111111112,0.32638888888888884,0.24444444444444446
MFO,1,0.65625,0.34375,0.24444444444444446
SFO,1,0.6631944444444444,0.3368055555555556,0.24444444444444446
GA,1,0.6458333333333334,0.35416666666666663,0.24444444444444446
EHO,1,0.6458333333333334,0.35416666666666663,0.24444444444444446
GWO,1,0.6006944444444444,0.3993055555555556,0.24444444444444446
WOA,1,0.6770833333333334,0.32291666666666663,0.24444444444444446
MFO,1,0.6666666666666666,0.33333333333333337,0.24444444444444446
SFO,1,0.6527777777777778,0.3472222222222222,0.24444444444444446
GA,1,0.6354166666666666,0.36458333333333337,0.24444444444444446
EHO,1,0.65625,0.34375,0.24444444444444446
GWO,1,0.6493055555555556,0.3506944444444444,0.24444444444444446
WOA,1,0.6215277777777778,0.3784722222222222,0.24444444444444446
MFO,1,0.6284722222222222,0.3715277777777778,0.24444444444444446
