Method,NumberOfFeatures,Accuracy,Fitness
SFO,3,0.9032258064516129,0.46693548387096767
GA,3,0.9032258064516129,0.46693548387096767
EHO,3,0.7741935483870968,0.46693548387096767
GWO,3,0.7741935483870968,0.46693548387096767
WOA,4,0.9032258064516129,0.4419354838709677
MFO,3,0.8387096774193549,0.46693548387096767
SFO,3,0.9032258064516129,0.46693548387096767
GA,3,0.9032258064516129,0.46693548387096767
EHO,5,1.0,0.43629032258064515
GWO,3,0.8387096774193549,0.46693548387096767
WOA,3,0.8387096774193549,0.40887096774193543
MFO,3,0.8709677419354839,0.46693548387096767
SFO,4,0.9354838709677419,0.4612903225806452
GA,3,0.8709677419354839,0.46693548387096767
EHO,3,0.9354838709677419,0.46693548387096767
GWO,3,0.8387096774193549,0.46693548387096767
WOA,3,0.8387096774193549,0.46693548387096767
MFO,3,0.9032258064516129,0.46693548387096767
SFO,4,0.9354838709677419,0.4419354838709677
GA,3,0.8064516129032258,0.46693548387096767
EHO,4,0.8387096774193549,0.4419354838709677
GWO,3,0.9032258064516129,0.46693548387096767
WOA,3,0.8709677419354839,0.4475806451612903
MFO,3,0.8709677419354839,0.46693548387096767
SFO,3,0.8387096774193549,0.46693548387096767
