Method,NumberOfFeatures,Accuracy,Error,Fitness
SFO,4,1.0,0.0,0.08421052631578947
GA,3,1.0,0.0,0.09043062200956936
EHO,5,0.9090909090909091,0.09090909090909094,0.10526315789473684
GWO,4,0.9545454545454546,0.045454545454545414,0.08421052631578947
WOA,3,0.8636363636363636,0.13636363636363635,0.09043062200956936
MFO,2,0.9090909090909091,0.09090909090909094,0.06937799043062198
SFO,2,0.9545454545454546,0.045454545454545414,0.09665071770334929
GA,2,0.8181818181818182,0.18181818181818177,0.06937799043062198
EHO,6,0.9090909090909091,0.09090909090909094,0.15358851674641147
GWO,2,0.8636363636363636,0.13636363636363635,0.06937799043062198
WOA,3,0.8181818181818182,0.18181818181818177,0.14497607655502392
MFO,4,0.7727272727272727,0.2272727272727273,0.11148325358851671
SFO,2,0.8181818181818182,0.18181818181818177,0.09665071770334929
GA,2,0.7727272727272727,0.2272727272727273,0.06937799043062198
EHO,6,0.6818181818181818,0.31818181818181823,0.15358851674641147
GWO,2,0.8636363636363636,0.13636363636363635,0.09665071770334929
WOA,2,0.8636363636363636,0.13636363636363635,0.12392344497607655
MFO,4,0.9090909090909091,0.09090909090909094,0.08421052631578947
SFO,3,0.9090909090909091,0.09090909090909094,0.09043062200956936
GA,3,0.7727272727272727,0.2272727272727273,0.09043062200956936
EHO,5,0.8181818181818182,0.18181818181818177,0.1598086124401914
GWO,3,0.8636363636363636,0.13636363636363635,0.09043062200956936
WOA,2,0.9090909090909091,0.09090909090909094,0.09665071770334929
MFO,2,0.9090909090909091,0.09090909090909094,0.06937799043062198
SFO,3,0.9090909090909091,0.09090909090909094,0.11770334928229667
GA,4,1.0,0.0,0.08421052631578947
EHO,3,0.8636363636363636,0.13636363636363635,0.11770334928229667
GWO,2,0.9090909090909091,0.09090909090909094,0.06937799043062198
WOA,2,0.8636363636363636,0.13636363636363635,0.09665071770334929
MFO,3,0.8636363636363636,0.13636363636363635,0.09043062200956936
SFO,3,0.9090909090909091,0.09090909090909094,0.11770334928229667
GA,2,0.8636363636363636,0.13636363636363635,0.09665071770334929
EHO,3,0.9090909090909091,0.09090909090909094,0.11770334928229667
GWO,2,0.8636363636363636,0.13636363636363635,0.09665071770334929
WOA,2,0.7272727272727273,0.2727272727272727,0.09665071770334929
MFO,3,0.8181818181818182,0.18181818181818177,0.09043062200956936
SFO,2,0.8636363636363636,0.13636363636363635,0.09665071770334929
GA,2,0.8636363636363636,0.13636363636363635,0.06937799043062198
EHO,4,0.9545454545454546,0.045454545454545414,0.11148325358851671
GWO,3,0.8181818181818182,0.18181818181818177,0.11770334928229667
WOA,2,0.7727272727272727,0.2272727272727273,0.09665071770334929
MFO,2,0.8181818181818182,0.18181818181818177,0.06937799043062198
SFO,2,0.9090909090909091,0.09090909090909094,0.06937799043062198
GA,3,0.8181818181818182,0.18181818181818177,0.09043062200956936
EHO,4,0.8181818181818182,0.18181818181818177,0.11148325358851671
GWO,2,0.8636363636363636,0.13636363636363635,0.09665071770334929
WOA,8,0.9545454545454546,0.045454545454545414,0.1956937799043062
MFO,4,1.0,0.0,0.08421052631578947
SFO,3,0.9090909090909091,0.09090909090909094,0.11770334928229667
GA,4,0.9545454545454546,0.045454545454545414,0.08421052631578947
EHO,3,0.8636363636363636,0.13636363636363635,0.09043062200956936
GWO,2,0.9090909090909091,0.09090909090909094,0.09665071770334929
WOA,6,1.0,0.0,0.15358851674641147
MFO,2,0.9090909090909091,0.09090909090909094,0.06937799043062198
SFO,3,0.9090909090909091,0.09090909090909094,0.11770334928229667
GA,3,0.8636363636363636,0.13636363636363635,0.09043062200956936
EHO,3,0.7272727272727273,0.2727272727272727,0.11770334928229667
GWO,2,0.9090909090909091,0.09090909090909094,0.06937799043062198
WOA,4,0.7727272727272727,0.2272727272727273,0.16602870813397128
MFO,2,0.9545454545454546,0.045454545454545414,0.06937799043062198
