Method,NumberOfFeatures,Accuracy,Error,Fitness
SFO,6,0.7936507936507936,0.2063492063492064,0.12571428571428575
GA,7,0.6507936507936508,0.3492063492063492,0.12285714285714286
EHO,18,0.7777777777777778,0.2222222222222222,0.22476190476190477
GWO,5,0.6984126984126984,0.3015873015873016,0.09047619047619046
WOA,5,0.6825396825396826,0.31746031746031744,0.16666666666666666
MFO,12,0.7777777777777778,0.2222222222222222,0.13714285714285715
SFO,6,0.7936507936507936,0.2063492063492064,0.13523809523809524
GA,10,0.8095238095238095,0.19047619047619047,0.11428571428571432
EHO,22,0.7619047619047619,0.23809523809523814,0.22285714285714286
GWO,6,0.7142857142857143,0.2857142857142857,0.1066666666666667
WOA,4,0.6984126984126984,0.3015873015873016,0.16
MFO,10,0.6666666666666666,0.33333333333333337,0.14285714285714285
SFO,2,0.6190476190476191,0.38095238095238093,0.14666666666666667
GA,8,0.8571428571428571,0.1428571428571429,0.11047619047619048
EHO,19,0.7777777777777778,0.2222222222222222,0.21238095238095242
GWO,4,0.7301587301587301,0.2698412698412699,0.09333333333333337
WOA,5,0.6031746031746031,0.39682539682539686,0.10952380952380952
MFO,14,0.8571428571428571,0.1428571428571429,0.16000000000000003
SFO,7,0.746031746031746,0.25396825396825395,0.1704761904761905
GA,13,0.7619047619047619,0.23809523809523814,0.1438095238095238
EHO,19,0.7301587301587301,0.2698412698412699,0.19333333333333336
GWO,6,0.7936507936507936,0.2063492063492064,0.12571428571428575
WOA,3,0.6825396825396826,0.31746031746031744,0.17238095238095236
MFO,12,0.6825396825396826,0.31746031746031744,0.14666666666666672
SFO,3,0.7142857142857143,0.2857142857142857,0.1247619047619048
GA,7,0.746031746031746,0.25396825396825395,0.11333333333333337
EHO,21,0.7619047619047619,0.23809523809523814,0.22571428571428573
GWO,7,0.746031746031746,0.25396825396825395,0.09428571428571432
WOA,3,0.7936507936507936,0.2063492063492064,0.16285714285714287
MFO,14,0.7142857142857143,0.2857142857142857,0.16952380952380952
SFO,6,0.7936507936507936,0.2063492063492064,0.13523809523809524
GA,10,0.7777777777777778,0.2222222222222222,0.14285714285714285
EHO,21,0.6666666666666666,0.33333333333333337,0.2542857142857142
GWO,5,0.7619047619047619,0.23809523809523814,0.10952380952380952
WOA,7,0.8253968253968254,0.17460317460317465,0.1419047619047619
MFO,14,0.7619047619047619,0.23809523809523814,0.16000000000000003
SFO,7,0.7301587301587301,0.2698412698412699,0.1704761904761905
GA,8,0.7777777777777778,0.2222222222222222,0.12000000000000002
EHO,23,0.8253968253968254,0.17460317460317465,0.2390476190476191
GWO,8,0.8095238095238095,0.19047619047619047,0.1295238095238095
WOA,8,0.7301587301587301,0.2698412698412699,0.1676190476190476
MFO,10,0.8095238095238095,0.19047619047619047,0.11428571428571432
SFO,6,0.8095238095238095,0.19047619047619047,0.16380952380952385
GA,10,0.8095238095238095,0.19047619047619047,0.1238095238095238
EHO,20,0.7142857142857143,0.2857142857142857,0.21904761904761907
GWO,8,0.7301587301587301,0.2698412698412699,0.1390476190476191
WOA,1,0.7777777777777778,0.2222222222222222,0.19714285714285712
MFO,14,0.7777777777777778,0.2222222222222222,0.15047619047619049
SFO,7,0.7301587301587301,0.2698412698412699,0.1704761904761905
GA,4,0.7142857142857143,0.2857142857142857,0.0838095238095238
EHO,20,0.7936507936507936,0.2063492063492064,0.22857142857142856
GWO,5,0.7301587301587301,0.2698412698412699,0.10000000000000003
WOA,3,0.5714285714285714,0.4285714285714286,0.17238095238095236
MFO,13,0.7777777777777778,0.2222222222222222,0.1723809523809524
SFO,3,0.6984126984126984,0.3015873015873016,0.16285714285714287
GA,5,0.6825396825396826,0.31746031746031744,0.10952380952380952
EHO,22,0.746031746031746,0.25396825396825395,0.2419047619047619
GWO,4,0.7142857142857143,0.2857142857142857,0.09333333333333337
WOA,5,0.5555555555555556,0.4444444444444444,0.20476190476190473
MFO,13,0.7936507936507936,0.2063492063492064,0.1438095238095238
