Method,NumberOfFeatures,Accuracy,Error,Fitness
SFO,1,0.8148148148148148,0.18518518518518523,0.17150997150997152
GA,1,0.8148148148148148,0.18518518518518523,0.17150997150997152
EHO,1,0.7777777777777778,0.2222222222222222,0.17150997150997152
GWO,1,0.7654320987654321,0.23456790123456794,0.17150997150997152
WOA,1,0.7160493827160493,0.28395061728395066,0.19373219373219372
MFO,1,0.7901234567901234,0.2098765432098766,0.17150997150997152
SFO,1,0.6790123456790124,0.32098765432098764,0.17150997150997152
GA,1,0.7283950617283951,0.2716049382716049,0.17150997150997152
EHO,1,0.5185185185185185,0.4814814814814815,0.19373219373219372
GWO,1,0.7283950617283951,0.2716049382716049,0.17150997150997152
WOA,1,0.6419753086419753,0.3580246913580247,0.20854700854700853
MFO,1,0.7901234567901234,0.2098765432098766,0.17150997150997152
SFO,1,0.7654320987654321,0.23456790123456794,0.17150997150997152
GA,1,0.7901234567901234,0.2098765432098766,0.17150997150997152
EHO,1,0.7407407407407407,0.2592592592592593,0.17150997150997152
GWO,1,0.7901234567901234,0.2098765432098766,0.17150997150997152
WOA,1,0.8271604938271605,0.1728395061728395,0.17150997150997152
MFO,1,0.6419753086419753,0.3580246913580247,0.17150997150997152
SFO,1,0.7654320987654321,0.23456790123456794,0.17150997150997152
GA,1,0.7160493827160493,0.28395061728395066,0.19373219373219372
EHO,1,0.8271604938271605,0.1728395061728395,0.17150997150997152
GWO,1,0.7777777777777778,0.2222222222222222,0.17150997150997152
WOA,1,0.8148148148148148,0.18518518518518523,0.17150997150997152
MFO,1,0.7777777777777778,0.2222222222222222,0.17150997150997152
SFO,1,0.7407407407407407,0.2592592592592593,0.17150997150997152
GA,1,0.7901234567901234,0.2098765432098766,0.19373219373219372
EHO,1,0.6419753086419753,0.3580246913580247,0.19373219373219372
GWO,1,0.8148148148148148,0.18518518518518523,0.17150997150997152
WOA,1,0.7654320987654321,0.23456790123456794,0.17150997150997152
MFO,1,0.7407407407407407,0.2592592592592593,0.17150997150997152
SFO,1,0.7407407407407407,0.2592592592592593,0.19373219373219372
GA,1,0.8148148148148148,0.18518518518518523,0.17150997150997152
EHO,2,0.7777777777777778,0.2222222222222222,0.19487179487179487
GWO,1,0.7530864197530864,0.24691358024691357,0.17150997150997152
WOA,1,0.7160493827160493,0.28395061728395066,0.19373219373219372
MFO,1,0.7160493827160493,0.28395061728395066,0.17150997150997152
SFO,1,0.8148148148148148,0.18518518518518523,0.17150997150997152
GA,1,0.8024691358024691,0.19753086419753085,0.17150997150997152
EHO,2,0.7654320987654321,0.23456790123456794,0.19487179487179487
GWO,1,0.7407407407407407,0.2592592592592593,0.17150997150997152
WOA,1,0.7654320987654321,0.23456790123456794,0.19373219373219372
MFO,1,0.7901234567901234,0.2098765432098766,0.17150997150997152
SFO,1,0.7283950617283951,0.2716049382716049,0.17150997150997152
GA,1,0.7777777777777778,0.2222222222222222,0.17150997150997152
EHO,1,0.7901234567901234,0.2098765432098766,0.19373219373219372
GWO,1,0.7777777777777778,0.2222222222222222,0.17150997150997152
WOA,1,0.7777777777777778,0.2222222222222222,0.17150997150997152
MFO,1,0.7654320987654321,0.23456790123456794,0.17150997150997152
SFO,1,0.7777777777777778,0.2222222222222222,0.17150997150997152
GA,1,0.7901234567901234,0.2098765432098766,0.17150997150997152
EHO,2,0.7037037037037037,0.2962962962962963,0.19487179487179487
GWO,1,0.7160493827160493,0.28395061728395066,0.17150997150997152
WOA,1,0.7901234567901234,0.2098765432098766,0.17150997150997152
MFO,1,0.8518518518518519,0.14814814814814814,0.17150997150997152
SFO,1,0.8024691358024691,0.19753086419753085,0.17150997150997152
GA,1,0.7283950617283951,0.2716049382716049,0.17150997150997152
EHO,1,0.7901234567901234,0.2098765432098766,0.17150997150997152
GWO,1,0.7654320987654321,0.23456790123456794,0.17150997150997152
WOA,1,0.7901234567901234,0.2098765432098766,0.20854700854700853
MFO,1,0.7530864197530864,0.24691358024691357,0.17150997150997152
