Method,NumberOfFeatures,Accuracy,Error,Fitness
SFO,1,0.875,0.125,0.12105263157894734
GA,2,0.7916666666666666,0.20833333333333337,0.11710526315789474
EHO,4,0.75,0.25,0.15921052631578947
GWO,1,0.8333333333333334,0.16666666666666663,0.12105263157894734
WOA,2,0.875,0.125,0.11710526315789474
MFO,2,0.9166666666666666,0.08333333333333337,0.11710526315789474
SFO,1,0.875,0.125,0.12105263157894734
GA,1,0.875,0.125,0.12105263157894734
EHO,2,0.9166666666666666,0.08333333333333337,0.1421052631578947
GWO,1,0.875,0.125,0.12105263157894734
WOA,1,0.8333333333333334,0.16666666666666663,0.12105263157894734
MFO,2,0.9583333333333334,0.04166666666666663,0.11710526315789474
SFO,1,0.875,0.125,0.12105263157894734
GA,2,0.7916666666666666,0.20833333333333337,0.11710526315789474
EHO,2,0.7916666666666666,0.20833333333333337,0.1421052631578947
GWO,1,0.7083333333333334,0.29166666666666663,0.12105263157894734
WOA,1,0.9166666666666666,0.08333333333333337,0.12105263157894734
MFO,1,0.8333333333333334,0.16666666666666663,0.12105263157894734
SFO,1,0.75,0.25,0.12105263157894734
GA,1,0.9166666666666666,0.08333333333333337,0.12105263157894734
EHO,3,0.7916666666666666,0.20833333333333337,0.16315789473684209
GWO,2,0.75,0.25,0.11710526315789474
WOA,2,0.9166666666666666,0.08333333333333337,0.11710526315789474
MFO,2,0.7916666666666666,0.20833333333333337,0.11710526315789474
SFO,1,0.8333333333333334,0.16666666666666663,0.12105263157894734
GA,2,0.7916666666666666,0.20833333333333337,0.11710526315789474
EHO,3,0.875,0.125,0.1381578947368421
GWO,2,0.75,0.25,0.11710526315789474
WOA,1,0.7916666666666666,0.20833333333333337,0.12105263157894734
MFO,2,0.8333333333333334,0.16666666666666663,0.11710526315789474
SFO,1,0.7916666666666666,0.20833333333333337,0.12105263157894734
GA,1,0.7916666666666666,0.20833333333333337,0.12105263157894734
EHO,2,0.8333333333333334,0.16666666666666663,0.1421052631578947
GWO,1,0.8333333333333334,0.16666666666666663,0.12105263157894734
WOA,1,0.8333333333333334,0.16666666666666663,0.12105263157894734
MFO,1,0.8333333333333334,0.16666666666666663,0.12105263157894734
SFO,1,0.8333333333333334,0.16666666666666663,0.12105263157894734
GA,2,0.8333333333333334,0.16666666666666663,0.11710526315789474
EHO,1,0.875,0.125,0.12105263157894734
GWO,1,0.7916666666666666,0.20833333333333337,0.12105263157894734
WOA,1,0.9166666666666666,0.08333333333333337,0.12105263157894734
MFO,1,0.7916666666666666,0.20833333333333337,0.12105263157894734
SFO,1,0.7916666666666666,0.20833333333333337,0.12105263157894734
GA,1,0.7916666666666666,0.20833333333333337,0.12105263157894734
EHO,2,0.875,0.125,0.1421052631578947
GWO,1,0.7083333333333334,0.29166666666666663,0.12105263157894734
WOA,1,0.9166666666666666,0.08333333333333337,0.12105263157894734
MFO,1,0.8333333333333334,0.16666666666666663,0.12105263157894734
SFO,1,0.7083333333333334,0.29166666666666663,0.12105263157894734
GA,1,0.75,0.25,0.12105263157894734
EHO,2,0.875,0.125,0.1421052631578947
GWO,2,0.875,0.125,0.11710526315789474
WOA,1,0.9583333333333334,0.04166666666666663,0.12105263157894734
MFO,1,0.8333333333333334,0.16666666666666663,0.12105263157894734
SFO,1,0.875,0.125,0.12105263157894734
GA,1,0.7916666666666666,0.20833333333333337,0.12105263157894734
EHO,2,0.875,0.125,0.1421052631578947
GWO,1,0.8333333333333334,0.16666666666666663,0.12105263157894734
WOA,1,0.75,0.25,0.12105263157894734
MFO,2,0.7916666666666666,0.20833333333333337,0.11710526315789474
