Method,NumberOfFeatures,Accuracy,Error,Fitness
SFO,6,0.8490566037735849,0.15094339622641506,0.13851276359600445
GA,4,0.8773584905660378,0.12264150943396224,0.10932297447280798
EHO,10,0.8867924528301887,0.1132075471698113,0.18557158712541622
GWO,4,0.7830188679245284,0.21698113207547165,0.09234184239733628
WOA,1,0.7452830188679245,0.2547169811320755,0.11931187569367367
MFO,5,0.839622641509434,0.160377358490566,0.09844617092119867
SFO,4,0.9245283018867925,0.07547169811320753,0.09234184239733628
GA,4,0.9056603773584906,0.09433962264150941,0.09234184239733628
EHO,5,0.8773584905660378,0.12264150943396224,0.15504994450610432
GWO,2,0.9150943396226415,0.08490566037735847,0.09711431742508322
WOA,2,0.839622641509434,0.160377358490566,0.09711431742508322
MFO,3,0.8962264150943396,0.10377358490566035,0.13152053274139844
SFO,2,0.9056603773584906,0.09433962264150941,0.11975582685904548
GA,2,0.8490566037735849,0.15094339622641506,0.09711431742508322
EHO,7,0.9245283018867925,0.07547169811320753,0.14461709211986679
GWO,2,0.8773584905660378,0.12264150943396224,0.09711431742508322
WOA,1,0.7641509433962265,0.23584905660377353,0.11931187569367367
MFO,4,0.8773584905660378,0.12264150943396224,0.09800221975582685
SFO,4,0.9245283018867925,0.07547169811320753,0.09234184239733628
GA,4,0.8773584905660378,0.12264150943396224,0.09234184239733628
EHO,8,0.839622641509434,0.160377358490566,0.15638179800221974
GWO,2,0.8773584905660378,0.12264150943396224,0.09711431742508322
WOA,2,0.839622641509434,0.160377358490566,0.09711431742508322
MFO,4,0.8867924528301887,0.1132075471698113,0.09234184239733628
SFO,3,0.8584905660377359,0.14150943396226412,0.11453940066592674
GA,4,0.8867924528301887,0.1132075471698113,0.10932297447280798
EHO,8,0.8584905660377359,0.14150943396226412,0.15072142064372918
GWO,2,0.7830188679245284,0.21698113207547165,0.11975582685904548
WOA,1,0.7924528301886793,0.2075471698113207,0.14195338512763594
MFO,6,0.839622641509434,0.160377358490566,0.11587125416204218
SFO,5,0.8773584905660378,0.12264150943396224,0.13806881243063263
GA,5,0.8301886792452831,0.16981132075471694,0.09844617092119867
EHO,7,0.8773584905660378,0.12264150943396224,0.15027746947835735
GWO,4,0.8679245283018868,0.13207547169811318,0.10932297447280798
WOA,3,0.8113207547169812,0.18867924528301883,0.12019977802441731
MFO,5,0.8584905660377359,0.14150943396226412,0.09844617092119867
SFO,1,0.8301886792452831,0.16981132075471694,0.13063263041065482
GA,4,0.9245283018867925,0.07547169811320753,0.09234184239733628
EHO,6,0.8773584905660378,0.12264150943396224,0.15549389567147615
GWO,2,0.839622641509434,0.160377358490566,0.09711431742508322
WOA,1,0.7924528301886793,0.2075471698113207,0.11931187569367367
MFO,2,0.8867924528301887,0.1132075471698113,0.09711431742508322
SFO,2,0.8962264150943396,0.10377358490566035,0.11409544950055492
GA,2,0.8018867924528302,0.19811320754716977,0.09711431742508322
EHO,7,0.8018867924528302,0.19811320754716977,0.1729189789123196
GWO,4,0.8962264150943396,0.10377358490566035,0.09234184239733628
WOA,2,0.8773584905660378,0.12264150943396224,0.11409544950055492
MFO,6,0.9056603773584906,0.09433962264150941,0.09889012208657048
SFO,2,0.8867924528301887,0.1132075471698113,0.11409544950055492
GA,2,0.8584905660377359,0.14150943396226412,0.09711431742508322
EHO,8,0.839622641509434,0.160377358490566,0.16770255271920087
GWO,4,0.8490566037735849,0.15094339622641506,0.09800221975582685
WOA,2,0.8584905660377359,0.14150943396226412,0.11409544950055492
MFO,2,0.8207547169811321,0.17924528301886788,0.09711431742508322
SFO,2,0.839622641509434,0.160377358490566,0.09711431742508322
GA,2,0.9056603773584906,0.09433962264150941,0.11409544950055492
EHO,9,0.8207547169811321,0.17924528301886788,0.1851276359600444
GWO,2,0.8962264150943396,0.10377358490566035,0.11409544950055492
WOA,1,0.7641509433962265,0.23584905660377353,0.11931187569367367
MFO,4,0.8490566037735849,0.15094339622641506,0.11498335183129854
