Method,NumberOfFeatures,Accuracy,Error,Fitness
SFO,1,0.9555555555555556,0.0444444444444444,0.11333333333333336
GA,1,1.0,0.0,0.11333333333333336
EHO,1,0.9777777777777777,0.022222222222222254,0.11333333333333336
GWO,1,0.9333333333333333,0.06666666666666665,0.11333333333333336
WOA,1,0.9777777777777777,0.022222222222222254,0.11333333333333336
MFO,1,0.9333333333333333,0.06666666666666665,0.11333333333333336
SFO,1,0.9555555555555556,0.0444444444444444,0.11333333333333336
GA,1,1.0,0.0,0.11333333333333336
EHO,1,0.9333333333333333,0.06666666666666665,0.11333333333333336
GWO,1,0.9777777777777777,0.022222222222222254,0.11333333333333336
WOA,1,0.9555555555555556,0.0444444444444444,0.11333333333333336
MFO,1,1.0,0.0,0.11333333333333336
SFO,1,0.9555555555555556,0.0444444444444444,0.11333333333333336
GA,1,0.9333333333333333,0.06666666666666665,0.11333333333333336
EHO,1,0.9333333333333333,0.06666666666666665,0.11333333333333336
GWO,1,0.9333333333333333,0.06666666666666665,0.11333333333333336
WOA,1,1.0,0.0,0.11333333333333336
MFO,1,0.9777777777777777,0.022222222222222254,0.11333333333333336
SFO,1,0.9111111111111111,0.0888888888888889,0.11333333333333336
GA,1,1.0,0.0,0.11333333333333336
EHO,1,0.9555555555555556,0.0444444444444444,0.11333333333333336
GWO,1,0.9333333333333333,0.06666666666666665,0.11333333333333336
WOA,1,0.9111111111111111,0.0888888888888889,0.11333333333333336
MFO,1,0.9333333333333333,0.06666666666666665,0.11333333333333336
SFO,1,0.9111111111111111,0.0888888888888889,0.11333333333333336
GA,1,0.9777777777777777,0.022222222222222254,0.11333333333333336
EHO,1,0.9333333333333333,0.06666666666666665,0.11333333333333336
GWO,1,0.9333333333333333,0.06666666666666665,0.11333333333333336
WOA,1,0.9111111111111111,0.0888888888888889,0.11333333333333336
MFO,1,1.0,0.0,0.11333333333333336
SFO,1,0.9111111111111111,0.0888888888888889,0.11333333333333336
GA,1,0.9555555555555556,0.0444444444444444,0.11333333333333336
EHO,1,0.9555555555555556,0.0444444444444444,0.11333333333333336
GWO,1,0.9777777777777777,0.022222222222222254,0.11333333333333336
WOA,1,0.9333333333333333,0.06666666666666665,0.11333333333333336
MFO,1,0.9777777777777777,0.022222222222222254,0.11333333333333336
SFO,1,0.9333333333333333,0.06666666666666665,0.11333333333333336
GA,1,0.9333333333333333,0.06666666666666665,0.11333333333333336
EHO,1,0.8888888888888888,0.11111111111111116,0.11333333333333336
GWO,1,0.9555555555555556,0.0444444444444444,0.11333333333333336
WOA,1,0.9333333333333333,0.06666666666666665,0.11333333333333336
MFO,1,0.9111111111111111,0.0888888888888889,0.11333333333333336
SFO,1,0.9333333333333333,0.06666666666666665,0.11333333333333336
GA,1,0.9333333333333333,0.06666666666666665,0.11333333333333336
EHO,1,0.9333333333333333,0.06666666666666665,0.11333333333333336
GWO,1,0.9333333333333333,0.06666666666666665,0.11333333333333336
WOA,1,0.9555555555555556,0.0444444444444444,0.11333333333333336
MFO,1,0.9555555555555556,0.0444444444444444,0.11333333333333336
SFO,1,0.9333333333333333,0.06666666666666665,0.11333333333333336
GA,1,0.9333333333333333,0.06666666666666665,0.11333333333333336
EHO,1,0.9555555555555556,0.0444444444444444,0.11333333333333336
GWO,1,0.9333333333333333,0.06666666666666665,0.11333333333333336
WOA,1,0.9333333333333333,0.06666666666666665,0.11333333333333336
MFO,1,0.9333333333333333,0.06666666666666665,0.11333333333333336
SFO,1,0.9333333333333333,0.06666666666666665,0.11333333333333336
GA,1,0.9111111111111111,0.0888888888888889,0.11333333333333336
EHO,1,0.9555555555555556,0.0444444444444444,0.11333333333333336
GWO,1,0.9555555555555556,0.0444444444444444,0.11333333333333336
WOA,1,0.9333333333333333,0.06666666666666665,0.11333333333333336
MFO,1,0.9555555555555556,0.0444444444444444,0.11333333333333336
